AMIE;x;y
1047;582538,4481;9928892,449
1048;582552,42;9811603,12
1049;582576,7043;9542791,881
1050;582582,745;9919090,686
1051;582604;9831819
1052;582633,8103;9950149,794
1053;582682,304;9914751,337
1054;582694,533;9916126,902
1055;582738,2692;9699667,218
1056;582740,94;9911907,789
1057;582760,69;9798352,87
1058;582776;9824604
1059;582849;9879727
1060;582900,6814;9961547,618
1061;583016,06;9547799,59
1062;583059,437;9887905,642
1063;583106,54;9851857,41
1064;583125,2151;9907401,605
1065;583135;9810709
1066;583171,68;9845249,91
1067;583173,7184;9740693,439
1068;583178;9925824
1069;583188,7557;9551066,845
1070;583283,9261;9860290,074
1071;583294,0353;9874657,205
1072;583312,5034;9833373,526
1073;583351,004;9898432,149
1074;583403,9965;9955185,409
1075;583416,232;9865926,477
1076;583424,4665;9539410,235
1077;583451,6964;9700398,554
1078;583513,615;9910978,264
1079;583574,67;9515185,99
1080;583630;9871257
1081;583632;9835409
1082;583641,1316;9878350,995
1083;583675,7511;9829387,805
1084;583720,6794;9699630,077
1085;583789,08;9544712,41
1086;583798;9805513
1087;583844,1574;9700442,976
1088;583883,264;9945705,887
1089;583923,32;9531298,64
1090;583950,91;9515242,26
1091;583956,6193;9554446,973
1092;584017;9958420
1093;584020,238;9882463,585
1094;584053,2672;9930310,821
1095;584071;9700423
1096;584110,0455;9971809,297
1097;584130,9892;9861214,068
1098;584180,277;9915681,026
1099;584243;9804648
1100;584275,7892;9882637,336
1101;584294;9807581
1102;584300,9616;9556660,63
1103;584346,63;9851824,78
1104;584369,07;9854665,82
1105;584375,6756;9886718,086
1106;584511,4927;9885978,049
1107;584520;9615168
1108;584555;9798881
1109;584565,3415;9837186,743
1110;584585,1713;9831988,257
1111;584599;9614764
1112;584599,85;9524070,65
